id_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,latitude,longitude,type_local,arrondissement,price_per_m2,distance_to_center,neighborhood_cluster,month
2024-1182422,195000.0,24.0,1.0,75020,48.873312,2.384139,Appartement,20,8125.0,3.367149190293518,8,1
2024-1182424,370800.0,44.0,2.0,75017,48.894747,2.321548,Appartement,17,8427.272727272728,5.087096604538824,4,1
2024-1182425,350000.0,50.0,2.0,75020,48.864374,2.406691,Appartement,20,7000.0,4.335907258642428,2,1
2024-1182427,330000.0,37.0,2.0,75010,48.874511,2.371364,Appartement,10,8918.918918918918,2.8571855018735195,7,1
2024-1182430,280000.0,25.0,2.0,75017,48.892643,2.321738,Appartement,17,11200.0,4.868652222032403,4,1
2024-1182431,178000.0,20.0,1.0,75020,48.857187,2.396411,Appartement,20,8900.0,3.427311565099225,2,1
2024-1182433,2455776.0,199.0,5.0,75017,48.883968,2.299383,Appartement,17,12340.582914572864,5.056125665884755,9,1
2024-1182434,110000.0,23.0,1.0,75017,48.876067,2.295925,Appartement,17,4782.608695652174,4.714336114692956,9,1
2024-1182435,275900.0,32.0,2.0,75010,48.870576,2.352392,Appartement,10,8621.875,1.962179745221484,0,1
2024-1182436,5000000.0,124.0,4.0,75008,48.868413,2.307406,Appartement,8,40322.58064516129,3.5561640462783344,9,1
2024-1182437,331000.0,16.0,1.0,75018,48.889821,2.351724,Appartement,18,20687.5,4.096249521994645,0,1
2024-1182438,2730170.0,71.5,3.0,75017,48.881466,2.296022,Appartement,17,38184.195804195806,5.060363832387955,9,1
2024-1182439,500000.0,66.0,3.0,75019,48.876903,2.39212,Appartement,19,7575.757575757576,4.069019839270612,8,1
2024-1182440,569850.0,57.0,3.0,75018,48.890333,2.344953,Appartement,18,9997.368421052632,4.167619352120082,0,1
2024-1182441,645450.0,100.0,5.0,75019,48.88563,2.384106,Appartement,19,6454.5,4.403108786560657,8,1
2024-1182442,189000.0,14.0,1.0,75010,48.883487,2.363754,Appartement,10,13500.0,3.536121883085509,0,1
2024-1182443,260000.0,28.0,2.0,75017,48.892625,2.318722,Appartement,17,9285.714285714286,4.96454025084704,4,1
2024-1182447,250000.0,31.0,1.0,75018,48.886614,2.346837,Appartement,18,8064.516129032258,3.744858945331824,0,1
2024-1182448,2800000.0,133.0,5.0,75002,48.870267,2.340583,Appartement,2,21052.63157894737,2.0398449382422266,0,1
2024-1182452,567215.0,47.0,3.0,75017,48.876708,2.291867,Appartement,17,12068.404255319148,5.003183839917555,9,1
2024-1182453,256500.0,25.0,1.0,75020,48.867532,2.399905,Appartement,20,10260.0,3.992415653651076,8,1
2024-1182455,222100.0,27.0,1.0,75009,48.878613,2.344539,Appartement,9,8225.925925925925,2.875912213544493,0,1
2024-1182457,208000.0,22.0,2.0,75018,48.886482,2.335237,Appartement,18,9454.545454545454,3.876450502964951,4,1
2024-1182460,703400.0,73.0,3.0,75010,48.870697,2.357013,Appartement,10,9635.616438356165,2.0335905930156013,7,1
2024-1182461,395000.0,43.0,2.0,75010,48.882147,2.350151,Appartement,10,9186.046511627908,3.241017346214254,0,1
2024-1182462,273500.0,29.0,2.0,75020,48.854769,2.39681,Appartement,20,9431.03448275862,3.430460807459084,2,1
2024-1182463,110000.0,13.0,1.0,75009,48.88211,2.345862,Appartement,9,8461.538461538461,3.251004411502157,0,1
2024-1182464,590000.0,60.0,3.0,75018,48.889188,2.335368,Appartement,18,9833.333333333334,4.163797952702697,4,1
2024-1182465,290000.0,64.0,3.0,75018,48.897635,2.360047,Appartement,18,4531.25,5.017279327856363,0,1
2024-1182466,410000.0,42.0,2.0,75018,48.885968,2.345345,Appartement,18,9761.90476190476,3.68165135723497,0,1
2024-1182467,333600.0,38.0,2.0,75018,48.894376,2.334761,Appartement,18,8778.947368421053,4.733867439731946,4,1
2024-1182468,286320.0,27.0,1.0,75018,48.891325,2.335832,Appartement,18,10604.444444444443,4.385716104565592,4,1
2024-1182469,411600.0,53.0,2.0,75018,48.896232,2.338516,Appartement,18,7766.037735849057,4.879995052434597,0,1
2024-1182470,2200000.0,197.0,6.0,75009,48.879861,2.328549,Appartement,9,11167.51269035533,3.3738612837720017,4,1
2024-1182471,398000.0,38.0,2.0,75019,48.88596,2.379916,Appartement,19,10473.684210526317,4.268476100667728,8,1
2024-1182472,298000.0,41.0,3.0,75018,48.896686,2.340625,Appartement,18,7268.292682926829,4.905808856130452,0,1
2024-1182473,622100.0,73.0,3.0,75020,48.863867,2.405145,Appartement,20,8521.917808219177,4.2113520722199045,2,1
2024-1182474,500000.0,26.5,2.0,75019,48.880603,2.373761,Appartement,19,18867.924528301886,3.52722993616326,8,1
2024-1182475,210000.0,30.0,2.0,75018,48.887134,2.351592,Appartement,18,7000.0,3.7973132841533297,0,1
2024-1182476,232692.5,21.0,1.0,75018,48.884039,2.344062,Appartement,18,11080.59523809524,3.478599560149092,0,1
2024-1182477,500000.0,48.0,3.0,75018,48.895926,2.341675,Appartement,18,10416.666666666666,4.8118272668253645,0,1
2024-1182478,278000.0,21.0,2.0,75018,48.885157,2.335603,Appartement,18,13238.09523809524,3.727527188678581,4,1
2024-1182480,315000.0,27.0,1.0,75017,48.880624,2.306436,Appartement,17,11666.666666666666,4.425926190997901,9,1
2024-1182481,275000.0,33.0,1.0,75019,48.879266,2.390175,Appartement,19,8333.333333333334,4.143169424049679,8,1
2024-1182484,165000.0,17.0,1.0,75018,48.891123,2.358206,Appartement,18,9705.882352941177,4.281359096172934,0,1
2024-1182487,215000.0,40.0,2.0,75018,48.891017,2.338397,Appartement,18,5375.0,4.31163483993192,0,1
2024-1182492,901350.0,73.0,3.0,75017,48.88101,2.296559,Appartement,17,12347.260273972604,4.998038089309763,9,1
2024-1182493,410570.0,40.0,3.0,75018,48.88449,2.348168,Appartement,18,10264.25,3.504091211840216,0,1
2024-1182494,418500.0,35.0,1.0,75017,48.877466,2.292254,Appartement,17,11957.142857142857,5.024253280330356,9,1
2024-1182495,820000.0,55.0,2.0,75004,48.857376,2.359568,Appartement,4,14909.09090909091,0.8525212988493588,7,1
2024-1182496,160000.0,66.0,3.0,75019,48.879531,2.373024,Appartement,19,2424.242424242424,3.3969708953504743,8,1
2024-1182498,150000.0,15.0,1.0,75009,48.877253,2.343465,Appartement,9,10000.0,2.73884847789918,0,1
